,status,11,27,30
Acacia,existing,Western Cape,Peninsula,Peninsula
Acornhoek,existing,Limpopo,Lowveld,Phalaborwa
Aggeneis,existing,Northern Cape,Namaqualand,Namaqualand
Agullas,existing,Western Cape,Southern Cape,Outeniqua
Alpha,existing,Mpumalanga,Highveld South,Highveld South
Ankerlig,existing,Western Cape,Peninsula,West Coast
Apollo,existing,Gauteng,Pretoria,East Rand
Ararat,existing,North West,Rustenburg,Rustenburg
Ariadne,existing,KwaZulu Natal,Pinetown,Pinetown
Aries,existing,Northern Cape,Namaqualand,Namaqualand
Arnot,existing,Mpumalanga,Highveld North,Middelburg
Asteria,existing,Western Cape,Peninsula,Outeniqua
Athene,existing,KwaZulu Natal,Empangeni,Empangeni
Aurora,existing,Western Cape,West Coast,West Coast
Avon,existing,KwaZulu Natal,Pinetown,Pinetown
Bacchus,existing,Western Cape,Southern Cape,Outeniqua
Benburg,existing,Gauteng,Nigel,East Rand
Bernina,existing,Gauteng,Westrand,West Rand
Beta,existing,Free State,Bloemfontein,Welkom
Bighorn,existing,North West,Rustenburg,Rustenburg
Bloedrivier,existing,KwaZulu Natal,Newcastle,Newcastle
Bloukrans,existing,KwaZulu Natal,Ladysmith,Ladysmith
Borutho,existing,Limpopo,Polokwane,Lephalale
Boundary,existing,Northern Cape,Kimberley,Bloemfontein
Brenner,existing,Gauteng,Nigel,East Rand
Buffalo,existing,Eastern Cape,East London,East London
Camden,existing,Mpumalanga,Highveld South,Highveld South
Carmel,existing,North West,Carletonville,Carletonville
Chivelston,existing,KwaZulu Natal,Newcastle,Newcastle
Craighall,existing,Gauteng,Johannesburg,Johannesburg North
Croydon,existing,Gauteng,Johannesburg,Johannesburg South
Curomane,existing,Mozambique,Mozambique,Mozambique
Danskraal,existing,KwaZulu Natal,Ladysmith,Ladysmith
Dedisa,existing,Eastern Cape,Port Elizabeth,Port Elizabeth
Delphi,existing,Eastern Cape,East London,Karoo
Dinaledi,existing,North West,Pretoria,Tshwane
Drakensberg,existing,KwaZulu Natal,Ladysmith,Ladysmith
Droerivier,existing,Western Cape,Southern Cape,Karoo
Durban South,existing,KwaZulu Natal,Pinetown,Pinetown
Duvha,existing,Mpumalanga,Highveld North,Middelburg
Dwaalboom,existing,Limpopo,Waterberg,Lephalale
Edwaleni,existing,Mozambique,Mozambique,Mozambique
Eiger,existing,Gauteng,Johannesburg,Johannesburg South
Emkhiweni (Rockdale B),existing,Mpumalanga,Highveld North,Middelburg
Eros,existing,KwaZulu Natal,Pinetown,Pinetown
Esselen,existing,Gauteng,Johannesburg,East Rand
Etna,existing,Gauteng,Westrand,West Rand
Everest,existing,Free State,Welkom,Welkom
Ferrum,existing,Northern Cape,Kimberley,Kimberley
Fordsburg,existing,Gauteng,Johannesburg,West Rand
Foskor,existing,Limpopo,Lowveld,Phalaborwa
Gabarone South,existing,Botswana,Botswana,Botswana
Gamma,existing,Hydra Cluster,Karoo,Karoo
Gariep,existing,Hydra Cluster,Karoo,Karoo
Garona,existing,Northern Cape,Kimberley,Kimberley
Georgedale,existing,KwaZulu Natal,Pinetown,Pinetown
Glockner,existing,Gauteng,Vaal Triangle,Vaal Triangle
Gourikwa,existing,Western Cape,Southern Cape,Outeniqua
Grassridge,existing,Eastern Cape,Port Elizabeth,Port Elizabeth
Gromis,existing,Northern Cape,Namaqualand,Namaqualand
Grootvlei,existing,Mpumalanga,Nigel,Highveld South
Gumeni,existing,Mpumalanga,Highveld North,Middelburg
Harib,existing,Namibia,Namibia,Namibia
Harvard,existing,Free State,Bloemfontein,Bloemfontein
Hector,existing,KwaZulu Natal,Pinetown,Pinetown
Helios,existing,Northern Cape,West Coast,Namaqualand
Hendrina,existing,Mpumalanga,Highveld North,Middelburg
Hera,existing,Gauteng,Westrand,West Rand
Hermes,existing,North West,Carletonville,Carletonville
Hillside,existing,KwaZulu Natal,Empangeni,Empangeni
Hydra,existing,Hydra Cluster,Karoo,Karoo
Hydra B,existing,Hydra Cluster,Karoo,Karoo
Illovo,existing,KwaZulu Natal,Pinetown,Pinetown
Impala,existing,KwaZulu Natal,Empangeni,Empangeni
Incandu,existing,KwaZulu Natal,Newcastle,Newcastle
Ingagane,existing,KwaZulu Natal,Newcastle,Newcastle
Ingula,existing,KwaZulu Natal,Newcastle,Ladysmith
Insukamini,existing,Zimbabwe,Zimbabwe,Zimbabwe
Invubu,existing,KwaZulu Natal,Empangeni,Empangeni
Ixopo,existing,KwaZulu Natal,Pinetown,Pinetown
Juno,existing,Northern Cape,West Coast,West Coast
Jupiter,existing,Gauteng,Johannesburg,Johannesburg South
Kappa,existing,Western Cape,Southern Cape,Outeniqua
Kappa (A),existing,Western Cape,Southern Cape,Outeniqua
Kendal,existing,Mpumalanga,Highveld North,Witbank
Khanyazwe,existing,Mpumalanga,Lowveld,Lowveld
Klaarwater,existing,KwaZulu Natal,Pinetown,Pinetown
Koeberg,existing,Western Cape,West Coast,West Coast
Kokerboom,existing,Namibia,Namibia,Namibia
Komati,existing,Mpumalanga,Highveld North,Middelburg
Komatipoort,existing,Mpumalanga,Lowveld,Lowveld
Komsberg,existing,Western Cape,Southern Cape,Outeniqua
Kookfontein,existing,Gauteng,Vaal Triangle,Vaal Triangle
Kriel,existing,Mpumalanga,Highveld North,Witbank
Kronos,existing,Northern Cape,Karoo,Karoo
Kruispunt,existing,Mpumalanga,Highveld North,Witbank
Kusile,existing,Pelly,Warmbad,Tshwane
Kwagga,existing,Gauteng,Pretoria,Johannesburg North
Leander,existing,Free State,Welkom,Welkom
Leaches Bay,existing,Eastern Cape,East London,East London
Lepini,existing,Gauteng,Johannesburg,Johannesburg North
Leseding,existing,Limpopo,Polokwane,Polokwane
Lethabo,existing,Gauteng,Vaal Triangle,Vaal Triangle
Lewensaar,existing,Northern Cape,Kimberley,Kimberley
Lomond,existing,Gauteng,Pretoria,Tshwane
Lulamisa,existing,Gauteng,Johannesburg,Johannesburg North
Mahamba,existing,Swaziland,Swaziland,Swaziland
Majuba,existing,Mpumalanga,Newcastle,Highveld South
Makalu,existing,Gauteng,Vaal Triangle,Sasolburg
Maputo,existing,Mozambique,Mozambique,Mozambique
Marang,existing,North West,Rustenburg,Rustenburg
Marathon,existing,Mpumalanga,Lowveld,Lowveld
Matimba,existing,Limpopo,Waterberg,Lephalale
Matla,existing,Mpumalanga,Highveld South,Witbank
Medupi,existing,Limpopo,Waterberg,Lephalale
Merapi,existing,Free State,Bloemfontein,Bloemfontein
Mercury,existing,North West,Carletonville,Sasolburg
Merensky,existing,Limpopo,Lowveld,Phalaborwa
Mersey,existing,KwaZulu Natal,Pinetown,Pinetown
Midas,existing,North West,Carletonville,Carletonville
Minerva,existing,Gauteng,Pretoria,Johannesburg North
Mookodi,existing,Northern Cape,Kimberley,Carletonville
Mulalo,existing,Mpumalanga,Highveld South,Highveld South
Muldersvlei,existing,Western Cape,Peninsula,Peninsula
Nama,existing,Northern Cape,Namaqualand,Namaqualand
Neptune,existing,Eastern Cape,East London,East London
Nevis,existing,Gauteng,Nigel,East Rand
Ngwedi (Mogwase),existing,North West,Rustenburg,Rustenburg
Nieuwehoop,existing,Northern Cape,Kimberley,Kimberley
Njala,existing,Gauteng,Pretoria,East Rand
Normandie,existing,Mpumalanga,Newcastle,Highveld South
Olien,existing,Northern Cape,Kimberley,Kimberley
Olympus,existing,Gauteng,Vaal Triangle,Vaal Triangle
Oranjemond,existing,Northern Cape,Namaqualand,Namaqualand
Ottawa,existing,KwaZulu Natal,Pinetown,Pinetown
Palmiet,existing,Western Cape,Peninsula,Peninsula
