,OBJECTID_1,GP_Project,SchemeName,PrjctName,Voltage,ExpectedCO,Province,Shape_Leng,geometry,length
0,1,GPP0200,Medupi Integration Phase 2A:Mogwase,Medupi-Ngwedi 1st 400 kV line,400.0,2019,North West,2.01128737383,"MULTILINESTRING Z ((-1949757.0350704086 -2843459.631175828 0, -1948914.5842216993 -2844284.470507858 0, -1949823.4643504 -2859244.2937007044 0, -1946196.0764907538 -2870106.169291226 0, -1946454.5282731154 -2870690.29191073 0, -1946218.8478063745 -2898237.9176653153 0, -1948896.192354526 -2931586.480921867 0, -1951426.8120664926 -2942103.6796730245 0, -1949516.3788259337 -2951688.6268610978 0, -1949296.5764296893 -2954522.9984148345 0, -1948722.0546994382 -2955141.2801913703 0, -1947309.676352153 -2961132.509086573 0, -1945253.6738355602 -2979622.3595904857 0, -1945447.1932352018 -2981237.8957259227 0, -1943940.1103526554 -2984174.920556072 0, -1944159.0252746595 -2984584.2313673263 0, -1943507.777139912 -2985395.556780549 0, -1939848.1034512436 -3000248.320322184 0, -1935190.582188325 -3003599.543729341 0, -1933530.0667477497 -3007014.8099497412 0, -1933522.784105821 -3007274.3205176387 0, -1933740.2991809584 -3007524.6712215994 0, -1934829.4780004858 -3011303.2725004684 0, -1933437.5239197942 -3016287.932967035 0, -1932024.6716009919 -3019156.5401470675 0, -1937141.6653673784 -3027639.3808237766 0, -1938070.572200873 -3030050.4505908787 0, -1942375.5428142599 -3032067.252606014 0, -1946865.776132532 -3034565.846686293 0, -1947450.3545039357 -3035689.0292372894 0, -1949858.7193328608 -3037893.1304880115 0, -1949888.7437685267 -3038008.4219515836 0), (-1934915.8819450745 -2829208.456488109 0, -1934588.7391287382 -2828763.657363059 0, -1933773.4694287782 -2828888.6777636195 0, -1933506.8391414504 -2829303.1854495527 0, -1933591.4025147846 -2830676.4465703205 0, -1943229.407769822 -2834876.2659910093 0, -1949243.0725029637 -2840918.446903051 0, -1950451.6981965913 -2841529.437022511 0, -1951601.6895340136 -2841108.630630205 0, -1951958.9929218972 -2841288.697770308 0))",234.75597020469678
1,2,GPP0264,Kimberley Strengthening Phase 3,Hermes-Mookodi (Vryburg) 1st 400 kV line,400.0,2026,North West,2.33598505483,"LINESTRING Z (-2158154.7677456397 -3277814.381647783 0, -2157444.043788251 -3277108.25762835 0, -2139418.2074541682 -3276397.065641033 0, -2126677.686119264 -3268892.4558251994 0, -2088498.205662293 -3258827.448755265 0, -2056551.7045141459 -3249283.5178941437 0, -2053287.1836170466 -3249400.8513925155 0, -2047850.1644510971 -3246490.4754066085 0, -2016172.0718517234 -3237452.8881039955 0, -2000679.338715762 -3233858.1107019065 0, -1981001.8489652723 -3228955.457218293 0, -1968792.5226781694 -3226203.966527907 0, -1958751.7181973797 -3223744.8194698244 0, -1949233.6694441675 -3218531.1015346865 0, -1947444.7147460557 -3218564.2509358106 0, -1945366.7548699803 -3216515.461716192 0, -1944416.3681179415 -3216250.028813585 0, -1941600.9691669522 -3212499.7914894703 0, -1942446.3395297755 -3193681.527796122 0, -1947523.465387098 -3194163.2216544077 0)",253.2390554751452
2,3,GPP0378,Medupi Integration Phase 2A:Mogwase,Medupi-Ngwedi 1st 765 kV line (Energised at 400 kV),400.0,2019,North West,1.99983825322,"MULTILINESTRING Z ((-1949818.6091681193 -2843521.0226544426 0, -1949004.216247913 -2844318.385963048 0, -1949911.7081088377 -2859255.6871367046 0, -1946289.54968312 -2870101.8958163457 0, -1946540.6893550814 -2870672.4136167634 0, -1946304.9004511973 -2898234.714935937 0, -1948981.4216435552 -2931572.8134973557 0, -1951514.8896001745 -2942101.8300204095 0, -1949601.7607852528 -2951700.286040282 0, -1949380.0337716518 -2954559.4321190976 0, -1948800.5814435394 -2955183.0167911826 0, -1947394.6061621658 -2961147.04125711 0, -1945340.2631065361 -2979621.896798845 0, -1945535.7234937162 -2981253.6406014645 0, -1944037.135447516 -2984174.0988024944 0, -1944261.6489531295 -2984593.6405630466 0, -1943586.6944816369 -2985434.5346373226 0, -1939924.0134503823 -3000299.4796998943 0, -1935258.4216136616 -3003656.4877596926 0, -1933676.7425234285 -3006909.6193100177 0, -1933633.1675712154 -3007047.412321065 0, -1933852.6040002373 -3007293.827299907 0, -1934921.898778731 -3011291.7827832513 0, -1933518.167188072 -3016318.6060130834 0, -1932122.5327000655 -3019152.250457634 0, -1937219.1241789376 -3027601.4702342683 0, -1938138.3848077464 -3029987.19595399 0, -1942414.7765891445 -3031990.5881306054 0, -1946930.2109030765 -3034503.222912114 0, -1947519.5942131556 -3035635.8703975165 0, -1949935.102256944 -3037846.3193059517 0, -1949970.5477442085 -3038060.009864131 0), (-1934704.9237103257 -2829417.2886664267 0, -1934412.8931278307 -2829230.4437826853 0, -1933956.986576377 -2829306.673648607 0, -1933734.2534998646 -2829643.1132921223 0, -1933788.2286121724 -2830565.2771695997 0, -1943329.2028893912 -2834716.5807960103 0, -1949350.3471840941 -2840776.522547745 0, -1950567.0946723586 -2841398.0124265333 0, -1951611.1113538505 -2841029.787423027 0, -1951997.661343242 -2841231.6709050243 0))",233.44386666275224
3,4,GPP0597,Watershed (Backbone) Strengthening Phase 3,Pluto-Mahikeng 400 kV,400.0,2024,North West,1.84920326436,"LINESTRING Z (-2078637.8893248155 -3120805.345391611 0, -2078628.2046460211 -3120817.840041673 0, -2076792.9015078293 -3123182.940175569 0, -2076783.0426258235 -3123195.211364046 0, -2076772.547305217 -3123194.908778415 0, -2066595.846232445 -3122288.4865229307 0, -2066587.1541283298 -3122287.4524464877 0, -2066577.7029515891 -3122278.203206032 0, -2064546.317059867 -3120201.814222783 0, -2064536.8870200287 -3120192.58686715 0, -2064526.9157095854 -3120193.197955585 0, -2054855.9056305871 -3121064.0459029083 0, -2054847.1433523796 -3121065.1019013585 0, -2054837.2682077186 -3121067.698863739 0, -2047895.4733847077 -3123104.5729480893 0, -2047887.0782744912 -3123107.310969214 0, -2047878.883299117 -3123110.701084469 0, -2044066.520294086 -3124835.1157490597 0, -2044057.9759646603 -3124838.617008613 0, -2044042.0783202024 -3124843.197440404 0, -2042519.9951234935 -3125254.8316278043 0, -2040376.4606685485 -3125840.1176645854 0, -2040361.3879065257 -3125844.507592841 0, -2040355.0775890201 -3125858.338921617 0, -2037847.6584911766 -3131999.0740706287 0, -2037826.2066056672 -3132032.727383473 0, -2037817.9289360754 -3132044.946425812 0, -2037703.8828983465 -3132168.1803609747 0, -2037695.7933106176 -3132180.1324390415 0, -2037674.184702916 -3132214.0636893273 0, -2036904.0070391651 -3134102.4688967513 0, -2036897.9321174095 -3134116.4192238552 0, -2036889.3976151193 -3134129.788034598 0, -2034592.1312320423 -3137597.0363645134 0, -2034583.667488615 -3137609.2990677515 0, -2034560.683409125 -3137619.2195839398 0, -2034478.246803427 -3137652.9341784865 0, -2033982.2437025686 -3137484.0000262894 0, -2033967.7472577677 -3137478.663882349 0, -2033955.3475001073 -3137473.0221414794 0, -2029760.3697892255 -3135460.0936362613 0, -2029753.0573312994 -3135456.4273836263 0, -2029742.1342757624 -3135450.5495163216 0, -2029223.1750526987 -3135163.5633162344 0, -2029214.5520201041 -3135159.006074853 0, -2029201.2883333098 -3135154.805376076 0, -2017482.4152679318 -3132229.847607263 0, -2017452.8010755768 -3132223.6584602683 0, -2017448.2339315447 -3132229.979250501 0, -2015677.2190336403 -3135075.410105829 0, -2015672.3431825517 -3135082.7008787496 0, -2015658.6059422884 -3135092.170167202 0, -2013407.0265852716 -3136587.3206611467 0, -2013392.9686976331 -3136596.1825998826 0, -2013369.3526682463 -3136591.5739098946 0, -2011404.82651841 -3136150.6139662974 0, -2011381.375255628 -3136145.8947096574 0, -2011368.3026966099 -3136144.103987064 0, -2002797.2511142385 -3135319.914341355 0, -2002786.4499234715 -3135318.465115732 0, -2002765.8429023977 -3135314.493627246 0, -1998069.3054489763 -3134314.2368627535 0, -1998046.5790832718 -3134310.01103262 0, -1998032.098686534 -3134308.696656257 0, -1993698.5134389717 -3134005.4806279177 0, -1993682.229902851 -3134004.068602532 0, -1993673.9018600783 -3133999.4031182774 0, -1992536.5774610373 -3133296.485890987 0, -1992528.5260006515 -3133291.847572339 0, -1992517.5455382299 -3133289.571535819 0, -1987859.8006124026 -3132448.0940238847 0, -1987849.809371002 -3132446.480601788 0, -1987838.6677013878 -3132447.307617115 0, -1986044.0244393507 -3132747.3611355 0, -1986035.3106043949 -3132748.533334007 0, -1986021.1962602944 -3132748.6950203856 0, -1983982.0308624855 -3132730.42459874 0, -1983967.907908428 -3132730.5862533273 0, -1983955.9216252998 -3132731.256335463 0, -1981700.5527795684 -3132911.6707566804 0, -1981689.8249681066 -3132912.1590460604 0, -1971009.502161291 -3133262.220175927 0, -1971000.73458724 -3133262.222367561 0, -1970991.0296522863 -3133259.6560780825 0, -1967641.5624606828 -3132270.6349781705 0, -1967629.4721050998 -3132266.870436947 0, -1967623.726007028 -3132264.8054365907 0, -1962867.566240368 -3130491.6633269433 0, -1962858.7237798567 -3130488.6738353735 0, -1962842.0000108173 -3130486.191192901 0, -1953426.1186795495 -3129252.0706342887 0, -1953406.8495283718 -3129250.7444033404 0, -1953396.75366522 -3129253.7468452547 0, -1951039.787915511 -3130006.2210189844 0, -1951029.1330234725 -3130009.303061456 0, -1951013.5738029554 -3130011.229128957 0, -1946990.605903699 -3130326.155652346 0, -1946922.040988545 -3130348.16650604 0, -1946912.185067894 -3130351.4900116096 0, -1946903.1212905305 -3130355.8202522043 0, -1946747.2041914035 -3130435.5957620656 0, -1946740.6088281563 -3130436.6074856557 0, -1946626.072479234 -3130452.2986365017 0, -1938751.5639043534 -3129419.7738815765 0, -1938734.2397485734 -3129417.1243000207 0, -1938719.8304287377 -3129412.604863883 0, -1931836.7697159871 -3127123.9186219787 0, -1931821.1685581184 -3127119.0220332057 0, -1931807.6845331853 -3127115.961760785 0, -1928718.1590579757 -3126462.6139249834 0, -1928706.2609762405 -3126459.9566226974 0, -1928694.4267731323 -3126457.0297629833 0, -1925287.7371645574 -3125573.383002825 0, -1925274.823024068 -3125569.755388569 0, -1925258.6335801603 -3125564.5735526998 0, -1922727.6534920987 -3124710.084815269 0, -1922709.51107954 -3124703.438925605 0, -1922701.2164429142 -3124699.7561921114 0, -1922380.4924551463 -3124549.7524735383 0, -1922372.1979780067 -3124546.06982197 0, -1922354.2573800236 -3124539.500230721 0, -1920571.5667088781 -3123938.661275247 0, -1920555.2110498776 -3123933.6421703286 0, -1920540.1223413683 -3123935.182785069 0, -1919846.649622473 -3124021.0081926347 0, -1919829.3591922503 -3124022.5750354533 0, -1919818.313869798 -3124022.2952613262 0, -1898919.0239506243 -3123010.0663977126 0, -1898907.7834110707 -3123009.7441595253 0, -1898897.4185548136 -3123016.416515569 0, -1898441.0122887027 -3123380.0788833243 0, -1898431.8255237457 -3123386.913853444 0, -1898416.6200222913 -3123392.4187553893 0, -1897920.553386644 -3123562.687126694 0, -1897905.0410442417 -3123568.240521086 0, -1897900.0029892577 -3123574.9578855243 0, -1897647.2341340622 -3123923.6644047173 0, -1897574.9828742854 -3123957.410614991 0, -1896817.411460923 -3123962.2580152634 0, -1896807.024394175 -3123962.161123465 0, -1896793.8113396312 -3123961.6671522832 0, -1896285.0355950948 -3123936.353555249 0, -1896273.718058988 -3123936.246289359 0, -1896260.4067637897 -3123945.5186659154 0, -1894403.2066770922 -3125542.9836136517 0, -1894389.7487366623 -3125553.563467134 0, -1894380.7091238047 -3125558.526734461 0, -1893694.6028412706 -3125912.777244724 0, -1893684.6629805434 -3125917.588318728 0, -1893675.845037255 -3125919.881775534 0, -1893492.8963033077 -3125961.207242382 0, -1893226.6938292505 -3125840.7971957778 0, -1893048.4277561405 -3125635.288403208 0, -1893044.5821785158 -3125630.271868236 0)",202.21611427084525
4,5,GPP0598,Watershed (Backbone) Strengthening Phase 3,Mookodi-Mahikeng 400 kV,400.0,2029,North West,1.84903409897,"LINESTRING Z (-2158879.2382567613 -3277972.8426030134 0, -2158952.636896773 -3278122.6214349964 0, -2159242.0520539223 -3278294.4132952127 0, -2159262.6998499245 -3278305.973258568 0, -2159284.216503135 -3278317.0972159854 0, -2162032.4180775248 -3277909.7648511957 0, -2162041.7205806607 -3277908.093147239 0, -2162052.6036331845 -3277900.27920351 0, -2162621.015832693 -3277473.18290989 0, -2162633.9431258296 -3277463.0966968196 0, -2162641.7876325194 -3277456.0923337955 0, -2163139.051425813 -3276998.930442368 0, -2166502.564717062 -3273839.87652873 0, -2166512.1129221646 -3273830.5073921494 0, -2166521.535618473 -3273819.045105563 0, -2169590.7063915282 -3269931.469233309 0, -2169600.0275761103 -3269919.2370593534 0, -2169600.4385023573 -3269909.965252051 0, -2169557.3488449347 -3267837.8338281326 0, -2169556.851429008 -3267827.7929636706 0, -2169548.6670533083 -3267821.175742958 0, -2160837.8905531596 -3261166.907883165 0, -2160829.698946928 -3261160.289890674 0, -2160828.7092463095 -3261151.46364539 0, -2158299.103166752 -3229685.65046741 0, -2158299.238494142 -3229675.2853920865 0, -2158303.28669373 -3229664.91208691 0, -2162010.447383806 -3220694.6003476772 0, -2162014.4684891542 -3220684.281734179 0, -2162008.39222407 -3220673.6844938127 0, -2160208.754679773 -3218334.5472825677 0, -2160202.3296435727 -3218326.5107155466 0, -2160193.0591957187 -3218318.4617211577 0, -2152837.052813956 -3212784.5674594096 0, -2152829.2931769635 -3212778.2504993 0, -2152821.8394114487 -3212763.233669756 0, -2140347.850598483 -3186605.940662175 0, -2140341.0515351254 -3186591.038811014 0, -2140340.1081882687 -3186582.2444510637 0, -2139689.668265171 -3178091.364581941 0, -2139688.0467798556 -3178082.407899169 0, -2139674.5592374173 -3178077.208384078 0, -2134519.7338177017 -3176192.1803267403 0, -2134506.1874448056 -3176186.9579779073 0, -2134499.857187212 -3176179.8584974157 0, -2129529.367259729 -3169793.9147944683 0, -2129523.772800869 -3169787.1408910803 0, -2129514.939562671 -3169785.2461012094 0, -2116547.0352610513 -3167434.13713607 0, -2116537.652794652 -3167432.051619924 0, -2116523.1225682655 -3167426.182143602 0, -2096397.436516828 -3158902.5487939944 0, -2096381.3945163433 -3158894.8233534996 0, -2096373.81313169 -3158889.3196458123 0, -2084524.6946277753 -3149936.698735956 0, -2084516.2718368326 -3149929.9781252462 0, -2084513.9697289565 -3149912.9187979475 0, -2082846.8480006424 -3135825.73373485 0, -2082845.06398074 -3135808.31185652 0, -2082844.2589574638 -3135795.657242595 0, -2082492.966119389 -3127323.3502577255 0, -2082492.6554983766 -3127310.110752283 0, -2082494.137755054 -3127298.1868891614 0, -2083603.5371965962 -3120527.5633386923 0)",211.6995274035168
5,6,GPP0264,Kimberley Strengthening Phase 3,Hermes-Mookodi 1st 400 kV line,400.0,2026,Northern Cape,2.33598505483,"LINESTRING Z (-2158154.7677456397 -3277814.381647783 0, -2157444.043788251 -3277108.25762835 0, -2139418.2074541682 -3276397.065641033 0, -2126677.686119264 -3268892.4558251994 0, -2088498.205662293 -3258827.448755265 0, -2056551.7045141459 -3249283.5178941437 0, -2053287.1836170466 -3249400.8513925155 0, -2047850.1644510971 -3246490.4754066085 0, -2016172.0718517234 -3237452.8881039955 0, -2000679.338715762 -3233858.1107019065 0, -1981001.8489652723 -3228955.457218293 0, -1968792.5226781694 -3226203.966527907 0, -1958751.7181973797 -3223744.8194698244 0, -1949233.6694441675 -3218531.1015346865 0, -1947444.7147460557 -3218564.2509358106 0, -1945366.7548699803 -3216515.461716192 0, -1944416.3681179415 -3216250.028813585 0, -1941600.9691669522 -3212499.7914894703 0, -1942446.3395297755 -3193681.527796122 0, -1947523.465387098 -3194163.2216544077 0)",253.2390554751452
6,7,GPP0330,N Cape reinforcement: ferrum-Niewehoop-Aries 400 kV,Aggeneis-Paulputs 2nd 220 kV line,220.0,2019,Northern Cape,0.927976849653,"LINESTRING Z (-2714871.537331845 -3712625.6388724917 0, -2714794.119731712 -3712428.1692418456 0, -2714440.246000035 -3712197.7985012014 0, -2709885.452377021 -3707420.9134572395 0, -2708332.0617110385 -3705596.3700821362 0, -2708058.9442291283 -3703760.7845318737 0, -2706494.318057213 -3700234.6463087583 0, -2700640.796137814 -3696024.3240893916 0, -2698951.0586845106 -3695920.2243501013 0, -2681343.4466548464 -3684007.936459754 0, -2670938.647046674 -3676880.221246047 0, -2658372.9274032307 -3670123.719436263 0, -2657647.364332208 -3665631.087417897 0, -2653542.5160723994 -3661273.3593476214 0, -2649767.3515783586 -3638801.009547456 0, -2649801.4706579293 -3638678.6278878767 0)",105.83730899483722
7,8,GPP0400,Northern Cape reinforcement,Juno-Gromis 400 kV line,400.0,2020,Northern Cape,2.68110610182,"LINESTRING Z (-2660405.7908295514 -4001598.7308261204 0, -2665123.508010029 -3998231.288007092 0, -2679199.629027441 -3995864.463686677 0, -2679984.488266184 -3990633.7247444233 0, -2683777.4444795707 -3987489.882693262 0, -2690009.156534342 -3979818.5722429077 0, -2701629.9239893244 -3970871.7019696496 0, -2711082.0380130378 -3974595.5054098396 0, -2726113.9475391456 -3972642.671249906 0, -2742045.1623331797 -3965598.765644531 0, -2748046.8573280605 -3957340.085803304 0, -2751041.651529516 -3939504.177255733 0, -2775542.2657580883 -3923203.340217037 0, -2797257.71825874 -3888548.8650657516 0, -2805848.100390378 -3887198.1423124177 0, -2828794.7473053522 -3887329.141427843 0, -2828014.4643490147 -3884365.543590825 0, -2840312.2841723547 -3853333.3454832095 0, -2862728.0049714013 -3814804.878243245 0, -2870626.645596223 -3805532.8928730977 0)",321.03284757548363
8,9,GPP0403,Upington Strengthening Phase 1c,Ferrum-Upington 1st 400 kV lines,400.0,2025,Northern Cape,2.56269625818,"LINESTRING Z (-2495061.133258147 -3555125.801582967 0, -2508757.645091858 -3544922.427391432 0, -2507268.286581148 -3539763.326120648 0, -2497243.7298727804 -3524153.8008269942 0, -2481602.9162333375 -3518258.0951109077 0, -2476512.6444277246 -3517369.458122247 0, -2465886.9590192246 -3523454.4551339825 0, -2447627.642925537 -3517768.7074451977 0, -2435499.971645231 -3516146.914862596 0, -2381548.176960826 -3478160.630986972 0, -2376492.061465188 -3473722.8150265845 0, -2359051.869473437 -3461603.4697228083 0, -2349873.472600345 -3452038.6455752626 0, -2348210.035164716 -3447674.935729588 0, -2345061.687542496 -3446248.6392172207 0, -2343494.2673591366 -3442549.688934876 0, -2342329.7303001825 -3441659.1621040874 0, -2341083.3176918398 -3436453.26301838 0, -2337615.67981115 -3434332.2474780977 0, -2331851.0949271154 -3415246.827980393 0, -2331006.6016646195 -3411269.6778209233 0, -2332682.9457847304 -3403091.8708269764 0, -2326791.6455236482 -3399110.763425206 0, -2323600.119656394 -3398990.6845494886 0, -2320645.208192948 -3402082.9421096933 0, -2316867.439756755 -3404397.779566638 0)",288.08154664306403
9,10,GPP0420,N Cape reinforcement: Ferrum-Niewehoop-Aries 400 kV,Ferrum-Niewehoop 400 kV line,400.0,0,Northern Cape,2.48860245098,"LINESTRING Z (-2316864.4431211585 -3405105.809774202 0, -2320972.745788054 -3402444.622691483 0, -2321566.7102271705 -3401805.180228184 0, -2321583.786829538 -3401555.1661526025 0, -2323841.706637204 -3399116.267707851 0, -2327172.7924116272 -3399341.7503718585 0, -2333397.437557328 -3402435.7293765643 0, -2333637.29283232 -3402924.2346959724 0, -2331150.772188131 -3408330.531423069 0, -2330884.476137178 -3411657.0376877994 0, -2331192.468713324 -3413562.962263065 0, -2337935.7653014804 -3437163.945873172 0, -2338202.3552983943 -3439596.036608889 0, -2339876.081615245 -3446886.741037345 0, -2344867.675388789 -3462327.5630211253 0, -2344821.0045937975 -3462516.2493489063 0, -2368380.812693234 -3509061.3258426227 0, -2378781.850754095 -3526988.080935654 0, -2381739.08211728 -3534712.5672494704 0, -2383718.645833374 -3536592.182993337 0, -2385290.534766518 -3540060.857338919 0, -2390659.730564427 -3545702.0324491397 0, -2396247.062770511 -3551217.441880172 0, -2397470.50695498 -3554444.0757517987 0, -2400291.3547054133 -3561921.4285889473 0, -2401290.6011557765 -3562267.732673714 0, -2404612.6258474933 -3560663.489348574 0, -2409455.130852302 -3563154.3778542327 0, -2409799.769671228 -3563061.5592673724 0, -2419802.7607529955 -3568596.766437383 0, -2425114.1494387244 -3568673.1253916873 0, -2435113.8853729935 -3579833.0522959223 0, -2454495.352123441 -3619647.8018162274 0, -2453969.2164517287 -3620198.839625043 0, -2452648.2496705884 -3619730.877542933 0)",285.79604236608617
